KEY,English,Vietnamese,Korean
food_des_11,"Playful rolls of seaweed-wrapped rice, brimming with colorful veggies and savory delights, promising a delightful harmony of taste and texture.","Những cuộn gạo được bọc rong biển, tràn ngập những loại rau đầy màu sắc và những món ngon mặn, hứa hẹn một sự hài hòa thú vị của hương vị và kết cấu.","화려한 채소와 풍미있는 즐거움으로 가득 찬 해초 포장 쌀의 장난스러운 롤, 맛과 질감의 즐거운 조화를 약속합니다."
food_des_12,"A spicy embrace—fermented cabbage dances in a robust broth, creating a soul-warming symphony that captivates with its fiery and tangy notes.","Một cái ôm cay cay, những điệu nhảy bắp cải lên men trong nước dùng mạnh mẽ, tạo ra một bản giao hưởng ấm áp tâm hồn quyến rũ với những nốt nhạc bốc lửa và rối rắm của nó.",매운 포옹
food_des_13,"Chewy rice cakes bathe in a spicy-sweet sauce, a street sensation that tantalizes taste buds with its addictive heat.","Chewy Rice Cakes Tắm trong nước sốt ngọt ngào, một cảm giác đường phố làm trêu ngồi vị giác với sức nóng gây nghiện của nó.",chewy 쌀 케이크는 매운 달콤한 소스를 입고 중독성 열로 새싹을 맛보는 거리 감각입니다.
food_des_14,"Sweet and savory perfection—thinly sliced marinated delights, sizzling to tender perfection, delivering an indulgent and satisfying experience.","Sự hoàn hảo ngọt ngào và mặn mà, những món ngon được cắt lát, nóng bỏng đến sự hoàn hảo dịu dàng, mang lại một trải nghiệm nuông chiều và thỏa mãn.","달콤하고 풍미있는 완벽 함 - 작은 얇게 썬 절인 즐거움, 부드러운 완벽 함을 지키며 방종하고 만족스러운 경험을 제공합니다."
food_des_15,"Nourishment at its finest—infused chicken essence, a soul-soothing elixir believed to invigorate and restore balance.","Nuôi dưỡng tại tinh chất gà không sử dụng tốt nhất của nó, một loại thuốc tiên làm dịu tâm hồn được cho là tiếp thêm sinh lực và khôi phục sự cân bằng.",최고의 주입 된 닭 에센스로 영양을 공급하는 영혼은 균형을 활성화하고 회복하는 것으로 여겨졌습니다.
material_des_1,"pork, succulent.","Thịt lợn, mọng nước.","돼지 고기, 즙이 많은."
material_des_2,"Hearty beef stew, rich and tender.","Thịt bò thịnh vượng hầm, phong phú và dịu dàng.",풍성하고 부드러운 풍성한 쇠고기 스튜.
material_des_3,"Crispy fried chicken, golden and flavorful.","Gà rán giòn, vàng và hương vị.","바삭 바삭한 프라이드 치킨, 황금 및 맛."
material_des_4,"Garlic butter shrimp, a savory delight.","Tôm tỏi, một niềm vui mặn.","마늘 버터 새우, 풍미있는 즐거움."
material_des_5,"Crab curry, creamy and indulgent.","Cà ri cua, kem và nuông chiều.","게 카레, 크림과 방종."
material_des_6,"Baked salmon, flaky and seasoned.","Salmon nướng, bong tróc và dày dạn.","구운 연어, 벗겨지고 맛이 나다."
material_des_7,"Tofu stir-fry, a veggie protein medley.","Đậu phụ xào, một hỗn hợp protein rau.","두부 볶음 날개, 채소 단백질 메들리."
material_des_8,"Cauliflower buffalo bites, spicy and crispy.","Súp lơ trâu cắn, cay và giòn.","Cauliflower Buffalo Bites, 매운 맛과 바삭한."
material_des_9,"Cabbage rolls, stuffed and comforting.","Cải bắp cuộn, nhồi và thoải mái.","양배추 롤, 박제 및 편안함."
material_des_10,"Fresh salad, vibrant and crisp.","Salad tươi, sôi động và sắc nét.","신선한 샐러드, 활기차고 바삭 바삭합니다."
material_des_11,"Caramelized onion soup, sweet and savory.","Súp hành tây caramel, ngọt và mặn.","카라멜 양파 수프, 달콤하고 맛있습니다."
material_des_12,"Spring onion omelet, light and fluffy.","Mùa xuân hành lá, ánh sáng và lông mịn.","봄 양파 오믈렛, 가볍고 푹신한."
material_des_13,"Radish slaw, crunchy and refreshing.","Củ cải, giòn và sảng khoái.","무기 슬로우, 바삭 바삭하고 상쾌한."
material_des_14,"Eggplant Parmesan, cheesy and baked.","Cà tím Parmesan, Cheesy và nướng.","가지 파마산, 치즈 및 구운."
material_des_15,"Tomato basil pasta, simple and classic.","Pasta Basil cà chua, đơn giản và cổ điển.",단순하고 고전적인 토마토 바질 파스타.
material_des_16,"Stuffed peppers, a colorful delight.","Nhỏ ớt, một niềm vui đầy màu sắc.","박제 고추, 화려한 즐거움."
material_des_17,"Bell pepper fajitas, sizzling and zesty.","Bell Pepper Fajitas, Sizzling và Zesty.","Bell Pepper Fajitas, 지글 지글과 열등."
material_des_18,"Ginger soy stir-fry, aromatic and tangy.","Gừng đậu nành xào, thơm và rối.","생강 콩 볶음, 향기롭고 칙칙한."
material_des_19,"Anise-infused broth, fragrant and soothing.","Nước dùng của hồi, thơm và nhẹ nhàng.","아니즈 주입 국물, 향기롭고 진정."
material_des_20,"Licorice-spiced dessert, subtly sweet.","Món tráng miệng gia vị cam thảo, ngọt ngào tinh tế.","감초 화 된 디저트, 미묘하게 달콤합니다."
material_des_21,"Cinnamon swirl bread, warm and comforting.","Bánh mì quế, ấm áp và thoải mái.","계피 소용돌이 빵, 따뜻하고 편안합니다."
material_des_22,"Kimchi fried rice, spicy and fermented.","Gạo chiên kim chi, cay và lên men.","김치 튀김 쌀, 매운, 발효."
material_des_23,"Cabbage rolls, stuffed and comforting.","Cải bắp cuộn, nhồi và thoải mái.","양배추 롤, 박제 및 편안함."
material_des_24,"Seafood boil, brimming with ocean flavors.","Hồng nước sôi, tràn ngập hương vị đại dương.",해산물이 끓고 바다 맛으로 가득합니다.
material_des_25,"Salt-crusted fish, a delicate delight.","Cá muối, một niềm vui tinh tế.","소금이 크게 든 물고기, 섬세한 즐거움."
material_des_26,"Umami-packed MSG seasoning, enhancing flavors.","Umami đóng gói gia vị, tăng cường hương vị.","우마미가 가득한 MSG 조미료, 풍미 향상."
material_des_27,"Fish sauce marinade, salty and pungent.","Nước mồi ướp, mặn và cay nồng.","생선 소스 매리 네이드, 짠맛 및 매운."
material_des_28,"Stir-fried with soybean oil, light and clean.","Xào với dầu đậu nành, nhẹ và sạch.",대두유로 볶은 가볍고 깨끗합니다.
material_des_29,"Olive oil drizzle, adding a Mediterranean touch.","Mưới dầu ô liu, thêm một liên lạc Địa Trung Hải.","올리브 오일 이슬비, 지중해 터치를 추가합니다."
material_des_30,"Fluffy rice, a versatile staple.","Gạo lông, một mặt hàng chủ lực đa năng.","푹신한 쌀, 다재다능한 필수품."
material_des_31,"Crispy fried flour coating, golden and crunchy.","Lớp phủ bột chiên giòn, vàng và giòn.","바삭한 프라이드 밀가루 코팅, 황금색 및 바삭 바삭한."
material_des_32,"Pasta pomodoro, simple and satisfying.","Pasta Pomodoro, đơn giản và thỏa mãn.","파스타 Pomodoro, 간단하고 만족 스럽습니다."
material_des_33,"Nutty noodle stir-fry, a quick delight.","Nutty Noodle Stir-Fry, một niềm vui nhanh chóng.","Nutty Noodle Stir-Fry, 빠른 즐거움."
material_des_34,"Vermicelli soup, light and nourishing.","Súp vermicelli, ánh sáng và nuôi dưỡng.","Vermicelli Soup, Light and Nourishing."
material_des_35,"Steamed rice noodles, a delicate base.","Mì gạo hấp, một cơ sở tinh tế.","찐 쌀 국수, 섬세한 기초."
material_des_36,"Freshly baked bread, warm and crusty.","Bánh mì mới nướng, ấm và giòn.","갓 구운 빵, 따뜻하고 우두머리."
material_des_37,"Garlic bread, aromatic and buttery.","Bánh mì tỏi, thơm và bơ.","마늘 빵, 향기롭고 버터."
material_des_38,"Milk-braised chicken, creamy and tender.","Gà cổ dầu, kem và mềm.","우유로 만든 닭고기, 크림 같고 부드럽습니다."
material_des_39,"Cheese platter, a delightful assortment.","Phô mai đĩa, một loại thú vị.","치즈 플래터, 유쾌한 구색."
material_des_40,"Margarine-topped veggies, a buttery finish.","Rau trên đỉnh bơ thực vật, một lớp hoàn thiện bơ.","마가린 탑 채소, 버터 마감."
material_des_41,"Cheese platter, a delightful assortment.","Phô mai đĩa, một loại thú vị.","치즈 플래터, 유쾌한 구색."
material_des_42,"Margarine-topped veggies, a buttery finish.","Rau trên đỉnh bơ thực vật, một lớp hoàn thiện bơ.","마가린 탑 채소, 버터 마감."
material_des_43,"Cheese platter, a delightful assortment.","Phô mai đĩa, một loại thú vị.","치즈 플래터, 유쾌한 구색."
material_des_44,"Margarine-topped veggies, a buttery finish.","Rau trên đỉnh bơ thực vật, một lớp hoàn thiện bơ.","마가린 탑 채소, 버터 마감."
